trip_id,vehicle_type,num_stops,distance_cost,lateness_minutes,customers
1,Large,12,16871.31,69101.73,"370,117,259,217,336,462,419,220,101,464,212,85"
2,Large,10,12835.79,38020.48,"72,413,348,321,341,224,469,17,55,415"
3,Large,9,11542.53,36261.29,"374,255,245,438,11,461,31,433,481"
4,Large,11,10442.63,34792.1,"29,218,409,77,102,54,225,207,402,309,335"
5,Large,10,11830.98,48748.23,"184,401,311,273,294,279,458,482,463,403"
6,Large,10,11718.14,32858.84,"143,247,351,1,265,303,339,61,420,258"
7,Large,13,11731.71,53268.56,"193,369,281,57,233,306,317,197,430,106,28,288,494"
8,Large,12,8023.42,28825.06,"490,104,366,398,331,69,271,156,24,177,376,364"
9,Large,9,12737.28,39469.24,"167,94,334,78,446,452,186,222,485"
10,Large,10,12382.09,42449.15,"62,471,150,378,421,227,132,296,79,84"
11,Large,8,10644.08,31427.12,"406,146,277,345,226,34,118,441"
12,Large,9,11569.23,32872.85,"76,195,283,88,328,310,20,299,163"
13,Large,11,12131.78,48788.32,"488,51,383,499,319,266,368,412,209,389,440"
14,Large,11,9162.95,38970.32,"63,182,422,202,75,316,180,169,357,447,278"
15,Large,10,13749.63,42800.29,"159,379,229,253,171,111,66,442,256,408"
16,Large,9,10580.6,31076.97,"356,329,301,112,8,64,235,161,15"
17,Large,10,9965.29,24112.12,"411,315,70,65,107,241,158,44,264,260"
18,Large,9,9217.41,39259.29,"2,123,436,13,392,486,344,138,18"
19,Large,9,8527.7,23607.78,"16,52,333,320,269,391,12,455,41"
20,Large,10,10504.28,34236.65,"456,131,228,477,243,181,231,135,152,244"
21,Large,7,6499.2,16619.29,"496,93,67,384,468,116,300"
22,Large,8,11858.05,35508.08,"126,443,160,395,25,495,388,439"
23,Large,10,13435.47,41773.17,"399,491,449,373,414,86,148,390,58,289"
24,Large,11,11674.53,49297.47,"108,338,98,5,216,189,270,475,484,426,280"
25,Large,11,10698.9,37655.07,"210,137,322,119,262,483,97,120,318,308,437"
26,Large,10,12990.56,44145.85,"240,304,121,164,230,162,239,263,347,363"
27,Large,12,13940.51,68554.65,"249,47,451,346,498,291,236,312,460,250,470,166"
28,Large,9,8609.61,25929.87,"410,128,431,251,387,23,400,201,360"
29,Large,10,10350.41,39512.6,"330,21,359,129,223,396,252,114,208,176"
30,Large,10,9748.6,38195.56,"187,434,286,268,353,343,355,109,3,284"
31,Large,11,12835.72,48997.33,"444,254,168,154,125,407,474,386,191,429,89"
32,Large,9,7229.24,22835.99,"32,165,480,404,213,26,155,287,80"
33,Large,9,11446.38,32975.02,"327,71,105,39,276,83,242,221,133"
34,Large,10,10854.45,40637.73,"282,246,326,45,267,472,170,14,178,95"
35,Large,11,8979.17,34734.1,"92,40,199,90,33,385,237,261,214,275,380"
36,Large,10,9686.7,28854.96,"476,48,417,467,7,173,113,234,382,139"
37,Large,12,10926.63,55742.58,"285,423,307,100,188,56,459,361,19,365,248,205"
38,Large,10,11515.8,29904.56,"42,153,10,73,489,293,332,272,204,257"
39,Large,9,9586.75,25825.22,"497,30,454,493,371,175,103,60,144"
40,Large,12,15615.94,71329.15,"9,342,418,122,479,349,424,192,134,46,36,394"
41,Large,14,11986.16,56832.49,"130,49,375,124,59,157,457,350,500,142,215,219,448,198"
42,Large,12,14646.2,51719.82,"183,194,96,323,362,473,435,405,397,450,22,292"
43,Large,10,14953.25,60847.05,"295,381,74,196,325,313,37,465,179,305"
44,Large,11,10035.21,27417.92,"432,298,115,445,274,238,81,141,428,478,140"
45,Large,9,9036.51,26772.54,"314,393,352,200,82,149,416,4,206"
46,Large,10,10137.18,38567.99,"372,91,151,211,377,27,87,487,38,110"
47,Large,9,9938.29,32410.26,"290,6,172,340,367,43,185,35,358"
48,Large,9,8453.26,17779.93,"190,136,297,427,232,174,466,203,68"
49,Large,9,10995.21,38515.29,"50,53,425,324,145,453,302,492,354"
50,Medium,4,3222.49,4815.64,"99,337,127,147"
