trip_id,vehicle_type,num_stops,distance_cost,lateness_minutes,customers
1,Large,11,8937.66,28147.46,"103,151,326,354,457,12,167,200,102,285,5"
2,Large,12,8266.67,24426.21,"393,62,78,397,145,81,303,444,254,51,28,324"
3,Large,9,5065.71,14494.22,"109,294,82,279,54,201,116,346,445"
4,Large,10,6519.54,22753.03,"107,187,195,96,400,415,239,231,250,297"
5,Large,10,8894.5,31802.17,"358,15,90,221,496,25,308,40,460,22"
6,Large,11,7784.39,26976.23,"465,248,205,473,106,118,87,154,395,429,235"
7,Large,10,6959.85,23116.18,"386,367,478,389,244,196,164,329,414,111"
8,Large,11,7321.93,23868.05,"446,197,320,464,461,203,122,291,269,281,218"
9,Large,7,6167.6,12692.91,"29,10,282,434,257,286,315"
10,Large,10,7190.57,23713.55,"213,42,121,46,470,53,117,437,1,63"
11,Large,9,8530.13,21553.96,"119,32,271,163,189,31,273,406,392"
12,Large,10,5816.45,18463.4,"357,452,214,66,233,300,142,177,240,155"
13,Large,11,7168.76,31811.59,"137,125,198,108,104,494,24,456,344,190,150"
14,Large,11,9734.82,33812.87,"458,383,276,483,486,11,335,170,97,212,135"
15,Large,11,7797.85,20444.11,"490,2,402,290,359,274,352,100,427,366,94"
16,Large,10,8571.15,27207.46,"182,36,416,441,147,132,48,246,381,178"
17,Large,10,9024.66,23418.86,"95,330,255,207,33,310,181,9,336,272"
18,Large,10,9084.43,22171.13,"489,211,75,305,355,176,92,409,99,93"
19,Large,12,7828.43,27098.04,"183,378,312,481,139,204,270,74,304,407,249,34"
20,Large,9,5801.83,14363.45,"440,413,19,120,185,232,251,261,295"
21,Large,9,5873.21,13618.04,"241,356,495,372,59,226,162,468,353"
22,Large,9,8805.73,24660.6,"110,156,421,4,351,469,14,17,342"
23,Large,11,8468.55,26373.59,"420,18,86,3,20,44,39,364,70,448,238"
24,Large,12,9137.63,32429.19,"373,388,146,71,13,396,161,387,337,191,363,361"
25,Large,10,10016.49,19041.03,"323,480,140,210,73,472,160,280,385,293"
26,Large,11,8001.49,22515.44,"6,129,77,61,253,219,296,401,264,370,98"
27,Large,10,10196.96,25606.81,"143,288,126,266,37,247,316,158,360,192"
28,Large,10,6926.85,18280.97,"325,431,184,243,284,382,55,292,466,318"
29,Large,11,10885.54,31776.68,"101,128,206,186,256,433,425,499,471,454,408"
30,Large,12,9353.98,32889.29,"52,175,394,217,475,220,113,230,260,309,159,131"
31,Large,10,5993.21,18926.36,"16,157,45,438,169,439,60,419,225,234"
32,Large,9,8156.33,22258.17,"404,72,482,447,7,317,371,283,168"
33,Large,11,8848.2,25409.02,"333,348,497,287,76,474,8,152,242,68,423"
34,Large,11,7881.93,21853.33,"369,166,278,115,215,227,343,179,141,27,263"
35,Large,11,10431.72,34431.24,"237,21,224,313,347,149,58,173,302,85,267"
36,Large,9,4927.7,15371.67,"136,491,153,26,89,138,442,477,64"
37,Large,10,8545.83,26035.36,"105,174,49,124,83,455,380,498,134,223"
38,Large,9,6101.9,16420.61,"432,411,374,123,277,299,328,424,69"
39,Large,10,5672.05,14760.39,"410,259,47,144,463,365,311,202,493,56"
40,Large,8,4828.04,11519.63,"30,449,476,443,331,422,112,222"
41,Large,10,6499.96,20669.27,"275,322,229,265,43,384,236,80,459,492"
42,Large,9,6696.36,20625.69,"114,338,487,377,252,67,321,306,262"
43,Large,9,7387.14,15865.29,"65,327,398,399,171,209,314,133,148"
44,Large,9,8197.33,17512.0,"193,341,23,462,245,451,405,319,453"
45,Large,9,6705.84,14105.69,"228,485,368,450,349,289,391,50,339"
46,Large,10,8401.59,22146.4,"379,417,180,91,350,307,188,268,216,88"
47,Large,11,8037.87,23022.3,"500,345,467,79,332,57,38,484,435,428,199"
48,Large,10,6946.93,16999.49,"165,426,130,403,412,84,340,301,390,430"
49,Large,10,8535.04,24082.5,"35,362,208,194,418,375,41,479,298,376"
50,Medium,6,4397.06,6792.25,"488,258,127,334,172,436"
